Algorithm,category,size,trial,time_us
QuickSort,Random,6900,5,960
IntroSort,Random,6900,1,660
IntroSort,Random,6900,2,643
IntroSort,Random,6900,3,654
IntroSort,Random,6900,4,663
IntroSort,Random,6900,5,657
QuickSort,Random,7000,1,1017
QuickSort,Random,7000,2,982
QuickSort,Random,7000,3,957
QuickSort,Random,7000,4,955
QuickSort,Random,7000,5,954
IntroSort,Random,7000,1,679
IntroSort,Random,7000,2,646
IntroSort,Random,7000,3,669
IntroSort,Random,7000,4,658
IntroSort,Random,7000,5,676
QuickSort,Random,7100,1,1028
QuickSort,Random,7100,2,993
QuickSort,Random,7100,3,986
QuickSort,Random,7100,4,955
QuickSort,Random,7100,5,947
IntroSort,Random,7100,1,664
IntroSort,Random,7100,2,663
IntroSort,Random,7100,3,658
IntroSort,Random,7100,4,661
IntroSort,Random,7100,5,755
QuickSort,Random,7200,1,984
QuickSort,Random,7200,2,988
QuickSort,Random,7200,3,987
QuickSort,Random,7200,4,1030
QuickSort,Random,7200,5,958
IntroSort,Random,7200,1,706
IntroSort,Random,7200,2,691
IntroSort,Random,7200,3,673
IntroSort,Random,7200,4,734
IntroSort,Random,7200,5,700
QuickSort,Random,7300,1,989
QuickSort,Random,7300,2,983
QuickSort,Random,7300,3,1025
QuickSort,Random,7300,4,970
QuickSort,Random,7300,5,998
IntroSort,Random,7300,1,712
IntroSort,Random,7300,2,682
IntroSort,Random,7300,3,696
IntroSort,Random,7300,4,676
IntroSort,Random,7300,5,708
QuickSort,Random,7400,1,984
QuickSort,Random,7400,2,1027
QuickSort,Random,7400,3,986
QuickSort,Random,7400,4,989
QuickSort,Random,7400,5,997
IntroSort,Random,7400,1,755
IntroSort,Random,7400,2,687
IntroSort,Random,7400,3,681
IntroSort,Random,7400,4,726
IntroSort,Random,7400,5,742
QuickSort,Random,7500,1,1081
QuickSort,Random,7500,2,977
QuickSort,Random,7500,3,1021
QuickSort,Random,7500,4,1014
QuickSort,Random,7500,5,1098
IntroSort,Random,7500,1,721
IntroSort,Random,7500,2,703
IntroSort,Random,7500,3,721
IntroSort,Random,7500,4,730
IntroSort,Random,7500,5,753
QuickSort,Random,7600,1,1040
QuickSort,Random,7600,2,1054
QuickSort,Random,7600,3,1010
QuickSort,Random,7600,4,1114
QuickSort,Random,7600,5,1033
IntroSort,Random,7600,1,784
IntroSort,Random,7600,2,724
IntroSort,Random,7600,3,724
IntroSort,Random,7600,4,711
IntroSort,Random,7600,5,711
QuickSort,Random,7700,1,1051
QuickSort,Random,7700,2,1037
QuickSort,Random,7700,3,1082
QuickSort,Random,7700,4,1034
QuickSort,Random,7700,5,1071
IntroSort,Random,7700,1,758
IntroSort,Random,7700,2,747
IntroSort,Random,7700,3,712
IntroSort,Random,7700,4,757
IntroSort,Random,7700,5,727
QuickSort,Random,7800,1,1142
QuickSort,Random,7800,2,1038
QuickSort,Random,7800,3,1083
QuickSort,Random,7800,4,1082
QuickSort,Random,7800,5,1080
IntroSort,Random,7800,1,732
IntroSort,Random,7800,2,758
IntroSort,Random,7800,3,764
IntroSort,Random,7800,4,725
IntroSort,Random,7800,5,822
QuickSort,Random,7900,1,1180
QuickSort,Random,7900,2,1066
QuickSort,Random,7900,3,1120
QuickSort,Random,7900,4,1109
QuickSort,Random,7900,5,1079
IntroSort,Random,7900,1,761
IntroSort,Random,7900,2,856
IntroSort,Random,7900,3,744
IntroSort,Random,7900,4,764
IntroSort,Random,7900,5,821
QuickSort,Random,8000,1,1108
QuickSort,Random,8000,2,1081
QuickSort,Random,8000,3,1083
QuickSort,Random,8000,4,1103
QuickSort,Random,8000,5,1149
IntroSort,Random,8000,1,786
IntroSort,Random,8000,2,747
IntroSort,Random,8000,3,793
IntroSort,Random,8000,4,782
IntroSort,Random,8000,5,785
QuickSort,Random,8100,1,1120
QuickSort,Random,8100,2,1134
QuickSort,Random,8100,3,1139
QuickSort,Random,8100,4,1115
QuickSort,Random,8100,5,1231
IntroSort,Random,8100,1,814
IntroSort,Random,8100,2,780
IntroSort,Random,8100,3,822
IntroSort,Random,8100,4,806
IntroSort,Random,8100,5,767
QuickSort,Random,8200,1,1102
QuickSort,Random,8200,2,1202
QuickSort,Random,8200,3,1147
QuickSort,Random,8200,4,1122
QuickSort,Random,8200,5,1101
IntroSort,Random,8200,1,768
IntroSort,Random,8200,2,794
IntroSort,Random,8200,3,785
IntroSort,Random,8200,4,848
IntroSort,Random,8200,5,790
QuickSort,Random,8300,1,1169
QuickSort,Random,8300,2,1143
QuickSort,Random,8300,3,1155
QuickSort,Random,8300,4,1138
QuickSort,Random,8300,5,1149
IntroSort,Random,8300,1,792
IntroSort,Random,8300,2,820
IntroSort,Random,8300,3,837
IntroSort,Random,8300,4,813
IntroSort,Random,8300,5,784
QuickSort,Random,8400,1,1160
QuickSort,Random,8400,2,1146
QuickSort,Random,8400,3,1127
QuickSort,Random,8400,4,1203
QuickSort,Random,8400,5,1296
IntroSort,Random,8400,1,855
IntroSort,Random,8400,2,799
IntroSort,Random,8400,3,787
IntroSort,Random,8400,4,825
IntroSort,Random,8400,5,809
QuickSort,Random,8500,1,1156
QuickSort,Random,8500,2,1184
QuickSort,Random,8500,3,1207
QuickSort,Random,8500,4,1181
QuickSort,Random,8500,5,1181
IntroSort,Random,8500,1,820
IntroSort,Random,8500,2,847
IntroSort,Random,8500,3,833
IntroSort,Random,8500,4,811
IntroSort,Random,8500,5,860
QuickSort,Random,8600,1,1258
QuickSort,Random,8600,2,1206
QuickSort,Random,8600,3,1173
QuickSort,Random,8600,4,1162
QuickSort,Random,8600,5,1175
IntroSort,Random,8600,1,833
IntroSort,Random,8600,2,875
IntroSort,Random,8600,3,826
IntroSort,Random,8600,4,846
IntroSort,Random,8600,5,838
QuickSort,Random,8700,1,1205
QuickSort,Random,8700,2,1207
QuickSort,Random,8700,3,1201
QuickSort,Random,8700,4,1178
QuickSort,Random,8700,5,1273
IntroSort,Random,8700,1,823
IntroSort,Random,8700,2,836
IntroSort,Random,8700,3,866
IntroSort,Random,8700,4,876
IntroSort,Random,8700,5,815
QuickSort,Random,8800,1,1253
QuickSort,Random,8800,2,1258
QuickSort,Random,8800,3,1233
QuickSort,Random,8800,4,1231
QuickSort,Random,8800,5,1202
IntroSort,Random,8800,1,855
IntroSort,Random,8800,2,858
IntroSort,Random,8800,3,843
IntroSort,Random,8800,4,856
IntroSort,Random,8800,5,904
QuickSort,Random,8900,1,1251
QuickSort,Random,8900,2,1232
QuickSort,Random,8900,3,1175
QuickSort,Random,8900,4,1199
QuickSort,Random,8900,5,1236
IntroSort,Random,8900,1,877
IntroSort,Random,8900,2,859
IntroSort,Random,8900,3,900
IntroSort,Random,8900,4,861
IntroSort,Random,8900,5,842
QuickSort,Random,9000,1,1250
QuickSort,Random,9000,2,1258
QuickSort,Random,9000,3,1252
QuickSort,Random,9000,4,1291
QuickSort,Random,9000,5,1284
IntroSort,Random,9000,1,896
IntroSort,Random,9000,2,890
IntroSort,Random,9000,3,875
IntroSort,Random,9000,4,877
IntroSort,Random,9000,5,864
QuickSort,Random,9100,1,1263
QuickSort,Random,9100,2,1315
QuickSort,Random,9100,3,1266
QuickSort,Random,9100,4,1247
QuickSort,Random,9100,5,1224
IntroSort,Random,9100,1,880
IntroSort,Random,9100,2,885
IntroSort,Random,9100,3,914
IntroSort,Random,9100,4,893
